relative_path,absolute_path,reader,version,read_status,variable_count,candidate_count,error
IA_test_Float/0228 50gen/best_result_20260228_124726.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0228 50gen\best_result_20260228_124726.mat,scipy.io,MATLAB v5-v7.2,ok,100,7,
IA_test_Float/0228 50gen/trace_all_20260228_124726.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0228 50gen\trace_all_20260228_124726.mat,h5py,MATLAB v7.3/HDF5,ok,112,6,
IA_test_Float/0228 70gen-140gen/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0228 70gen-140gen\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,97,5,
IA_test_Float/0228 70gen-140gen/best_result_20260228_180032.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0228 70gen-140gen\best_result_20260228_180032.mat,scipy.io,MATLAB v5-v7.2,ok,100,7,
IA_test_Float/0228 70gen-140gen/best_result_20260301_172121.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0228 70gen-140gen\best_result_20260301_172121.mat,scipy.io,MATLAB v5-v7.2,ok,100,7,
IA_test_Float/0228 70gen-140gen/best_result_20260301_202152.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0228 70gen-140gen\best_result_20260301_202152.mat,scipy.io,MATLAB v5-v7.2,ok,100,7,
IA_test_Float/0228 70gen-140gen/best_result_20260301_224723.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0228 70gen-140gen\best_result_20260301_224723.mat,scipy.io,MATLAB v5-v7.2,ok,100,7,
IA_test_Float/0228 70gen-140gen/trace_all_20260228_180032.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0228 70gen-140gen\trace_all_20260228_180032.mat,h5py,MATLAB v7.3/HDF5,ok,112,6,
IA_test_Float/0228 70gen-140gen/trace_all_20260301_172121.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0228 70gen-140gen\trace_all_20260301_172121.mat,h5py,MATLAB v7.3/HDF5,ok,112,6,
IA_test_Float/0228 70gen-140gen/trace_all_20260301_202152.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0228 70gen-140gen\trace_all_20260301_202152.mat,h5py,MATLAB v7.3/HDF5,ok,112,6,
IA_test_Float/0228 70gen-140gen/trace_all_20260301_224723.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0228 70gen-140gen\trace_all_20260301_224723.mat,h5py,MATLAB v7.3/HDF5,ok,112,6,
IA_test_Float/0302 160gen-200gen/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0302 160gen-200gen\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,97,5,
IA_test_Float/0302 160gen-200gen/best_result_20260302_114631.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0302 160gen-200gen\best_result_20260302_114631.mat,scipy.io,MATLAB v5-v7.2,ok,100,7,
IA_test_Float/0302 160gen-200gen/trace_all_20260302_114631.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0302 160gen-200gen\trace_all_20260302_114631.mat,h5py,MATLAB v7.3/HDF5,ok,112,6,
IA_test_Float/0302 300gen/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0302 300gen\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,97,5,
IA_test_Float/0302 300gen/best_result_20260302_173331.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0302 300gen\best_result_20260302_173331.mat,scipy.io,MATLAB v5-v7.2,ok,100,7,
IA_test_Float/0302 300gen/trace_all_20260302_173331.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0302 300gen\trace_all_20260302_173331.mat,h5py,MATLAB v7.3/HDF5,ok,112,6,
IA_test_Float/0302 400gen-500gen/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0302 400gen-500gen\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,97,5,
IA_test_Float/0302 400gen-500gen/best_result_20260302_213720.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0302 400gen-500gen\best_result_20260302_213720.mat,scipy.io,MATLAB v5-v7.2,ok,100,7,
IA_test_Float/0302 400gen-500gen/trace_all_20260302_213720.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0302 400gen-500gen\trace_all_20260302_213720.mat,h5py,MATLAB v7.3/HDF5,ok,112,6,
IA_test_Float/0303 700gen/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0303 700gen\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,97,5,
IA_test_Float/0303 700gen/best_result_20260303_161511.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0303 700gen\best_result_20260303_161511.mat,scipy.io,MATLAB v5-v7.2,ok,100,7,
IA_test_Float/0303 700gen/best_result_20260303_215010.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0303 700gen\best_result_20260303_215010.mat,scipy.io,MATLAB v5-v7.2,ok,100,7,
IA_test_Float/0303 700gen/trace_all_20260303_161511.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0303 700gen\trace_all_20260303_161511.mat,h5py,MATLAB v7.3/HDF5,ok,112,6,
IA_test_Float/0303 700gen/trace_all_20260303_215010.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0303 700gen\trace_all_20260303_215010.mat,h5py,MATLAB v7.3/HDF5,ok,112,6,
IA_test_Float/0304 800gen/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0304 800gen\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,97,5,
IA_test_Float/0304 800gen/best_result_20260304_220254.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0304 800gen\best_result_20260304_220254.mat,scipy.io,MATLAB v5-v7.2,ok,100,7,
IA_test_Float/0304 800gen/trace_all_20260304_220254.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0304 800gen\trace_all_20260304_220254.mat,h5py,MATLAB v7.3/HDF5,ok,112,6,
IA_test_Float/0305 900gen/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0305 900gen\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,97,5,
IA_test_Float/0305 900gen/best_result_20260305_173935.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0305 900gen\best_result_20260305_173935.mat,scipy.io,MATLAB v5-v7.2,ok,100,7,
IA_test_Float/0305 900gen/trace_all_20260305_173935.mat,C:\Users\26096\Desktop\em\FP\IA_test_Float\0305 900gen\trace_all_20260305_173935.mat,h5py,MATLAB v7.3/HDF5,ok,112,6,
IA_test_group4/best_bits_coarse.mat,C:\Users\26096\Desktop\em\FP\IA_test_group4\best_bits_coarse.mat,scipy.io,MATLAB v5-v7.2,ok,84,5,
IA_test_group4/best_result_20260203_184421.mat,C:\Users\26096\Desktop\em\FP\IA_test_group4\best_result_20260203_184421.mat,scipy.io,MATLAB v5-v7.2,ok,87,7,
