sample_id,fem_path,mat_path,match_score,match_status,matching_evidence,conflicting_evidence
SAMPLE_0120,IA_test/12.21 N3G10/w03/case_3a8b1934-4441-4d43-b8e7-96228efff4aa.fem,,11,unmatched,位于父子目录；修改时间相差 9.6 小时,最高候选分低于最低证据阈值
SAMPLE_0121,IA_test/12.21 N3G10/w03/case_3bb26db5-3721-4b15-adf5-92e72e9c38d6.fem,,16,unmatched,位于父子目录；修改时间相差 37.9 分钟,最高候选分低于最低证据阈值
SAMPLE_0122,IA_test/12.21 N3G10/w03/case_4e22798d-f32f-4a70-80e5-5c7771b2b351.fem,,11,unmatched,位于父子目录；修改时间相差 8.8 小时,最高候选分低于最低证据阈值
SAMPLE_0123,IA_test/12.21 N3G10/w03/case_5f3baec7-3278-4e43-8895-de6c543775e4.fem,,11,unmatched,位于父子目录；修改时间相差 5.2 小时,最高候选分低于最低证据阈值
SAMPLE_0124,IA_test/12.21 N3G10/w03/case_64b66201-8dd1-4c2d-afdb-407e2222b655.fem,,11,unmatched,位于父子目录；修改时间相差 10.2 小时,最高候选分低于最低证据阈值
SAMPLE_0125,IA_test/12.21 N3G10/w03/case_656f7822-7a15-46b3-96da-19977c1d0d59.fem,,11,unmatched,位于父子目录；修改时间相差 1.0 小时,最高候选分低于最低证据阈值
SAMPLE_0126,IA_test/12.21 N3G10/w03/case_73a80977-7d67-41bf-95e0-c05f40cbb9e2.fem,,11,unmatched,位于父子目录；修改时间相差 9.0 小时,最高候选分低于最低证据阈值
SAMPLE_0127,IA_test/12.21 N3G10/w03/case_7e438ca1-c59d-463a-a10a-6d04b6f3b09e.fem,,11,unmatched,位于父子目录；修改时间相差 2.5 小时,最高候选分低于最低证据阈值
SAMPLE_0128,IA_test/12.21 N3G10/w03/case_86d62f9a-dbfd-4195-8fd4-2ddf63b2c724.fem,,11,unmatched,位于父子目录；修改时间相差 11.0 小时,最高候选分低于最低证据阈值
SAMPLE_0129,IA_test/12.21 N3G10/w03/case_91a9c760-b8d5-406b-984d-9d2d06311615.fem,,11,unmatched,位于父子目录；修改时间相差 5.9 小时,最高候选分低于最低证据阈值
SAMPLE_0130,IA_test/12.21 N3G10/w03/case_9477881f-38d7-4bf2-978e-c5c0e1dd186c.fem,,11,unmatched,位于父子目录；修改时间相差 2.9 小时,最高候选分低于最低证据阈值
SAMPLE_0131,IA_test/12.21 N3G10/w03/case_94e02f76-4578-4c74-aac4-25161d0050e0.fem,,11,unmatched,位于父子目录；修改时间相差 11.2 小时,最高候选分低于最低证据阈值
SAMPLE_0132,IA_test/12.21 N3G10/w03/case_a01e7cd3-4286-4e0f-9ec1-71ba10d5645d.fem,,11,unmatched,位于父子目录；修改时间相差 4.9 小时,最高候选分低于最低证据阈值
